hora,metaf,aero
1659657600000,"METAF SBBR 050000Z 05006KT CAVOK 18/04 Q1014=
",SBBR
1659661200000,"METAF SBBR 050100Z 01006KT CAVOK 17/05 Q1016=
",SBBR
1659664800000,"METAF SBBR 050200Z  35008KT CAVOK 17/05 Q1014=
",SBBR
1659668400000,"METAF SBBR 050300Z  34007KT CAVOK 16/05 Q1015=
",SBBR
1659672000000,"METAF SBBR 050400Z  34008KT CAVOK 16/05 Q1015=
",SBBR
1659675600000,"METAF SBBR 050500Z  34007KT CAVOK 16/05 Q1015=
",SBBR
1659679200000,"METAF SBBR 050600Z  31005KT CAVOK 15/06 Q1014=
",SBBR
1659682800000,"METAF SBBR 050700Z  32004KT CAVOK 15/05 Q1015=
",SBBR
1659686400000,"METAF SBBR 050800Z  34006KT CAVOK 15/05 Q1012=
",SBBR
1659690000000,"METAF SBBR 050900Z  33007KT CAVOK 14/05 Q1013=
",SBBR
1659693600000,"METAF SBBR 051000Z  33008KT CAVOK 15/05 Q1014=
",SBBR
1659697200000,"METAF SBBR 051100Z  33007KT CAVOK 21/05 Q1016=
",SBBR
1659700800000,"METAF SBBR 051200Z 03007KT CAVOK 23/06 Q1017=
",SBBR
1659704400000,"METAF SBBR 051300Z  36006KT CAVOK 25/06 Q1017=
",SBBR
1659708000000,"METAF SBBR 051400Z  34006KT CAVOK 26/05 Q1016=
",SBBR
1659711600000,"METAF SBBR 051500Z  32006KT CAVOK 27/04 Q1016=
",SBBR
1659715200000,"METAF SBBR 051600Z  33007KT CAVOK 28/04 Q1015=
",SBBR
1659718800000,"METAF SBBR 051700Z  31007KT CAVOK 28/04 Q1014=
",SBBR
1659722400000,"METAF SBBR 051800Z  29009KT CAVOK 29/04 Q1014=
",SBBR
1659726000000,"METAF SBBR 051900Z  29009KT CAVOK 29/04 Q1011=
",SBBR
1659729600000,"METAF SBBR 052000Z  28008KT CAVOK 29/04 Q1011=
",SBBR
1659733200000,"METAF SBBR 052100Z  28006KT CAVOK 25/04 Q1012=
",SBBR
1659736800000,"METAF SBBR 052200Z  28006KT CAVOK 23/04 Q1013=
",SBBR
1659740400000,"METAF SBBR 052300Z  28005KT CAVOK 22/04 Q1015=
",SBBR
1659744000000,"METAF SBBR 060000Z  31004KT CAVOK 20/05 Q1017=
",SBBR
1659747600000,"METAF SBBR 060100Z  32006KT CAVOK 19/06 Q1014=
",SBBR
1659751200000,"METAF SBBR 060200Z  34007KT CAVOK 17/06 Q1015=
",SBBR
1659754800000,"METAF SBBR 060300Z  33008KT CAVOK 17/06 Q1015=
",SBBR
1659758400000,"METAF SBBR 060400Z  33009KT CAVOK 17/06 Q1014=
",SBBR
1659762000000,"METAF SBBR 060500Z  33008KT CAVOK 17/06 Q1015=
",SBBR
1659765600000,"METAF SBBR 060600Z  33008KT CAVOK 17/07 Q1014=
",SBBR
1659769200000,"METAF SBBR 060700Z  32008KT CAVOK 17/07 Q1013=
",SBBR
1659772800000,"METAF SBBR 060800Z  32008KT CAVOK 17/06 Q1013=
",SBBR
1659776400000,"METAF SBBR 060900Z  31008KT CAVOK 16/06 Q1014=
",SBBR
1659780000000,"METAF SBBR 061000Z  32007KT CAVOK 16/06 Q1015=
",SBBR
1659783600000,"METAF SBBR 061100Z  33003KT CAVOK 22/06 Q1017=
",SBBR
1659787200000,"METAF SBBR 061200Z  36004KT CAVOK 26/06 Q1017=
",SBBR
1659790800000,"METAF SBBR 061300Z 03006KT CAVOK 27/05 Q1016=
",SBBR
1659794400000,"METAF SBBR 061400Z 03005KT CAVOK 27/04 Q1016=
",SBBR
1659798000000,"METAF SBBR 061500Z 02005KT CAVOK 28/03 Q1015=
",SBBR
1659801600000,"METAF SBBR 061600Z 01007KT CAVOK 29/02 Q1014=
",SBBR
1659805200000,"METAF SBBR 061700Z 03005KT CAVOK 29/02 Q1014=
",SBBR
1659808800000,"METAF SBBR 061800Z  30008KT CAVOK 30/03 Q1012=
",SBBR
1659812400000,"METAF SBBR 061900Z  30008KT CAVOK 30/03 Q1011=
",SBBR
1659816000000,"METAF SBBR 062000Z  27006KT CAVOK 30/03 Q1011=
",SBBR
1659819600000,"METAF SBBR 062100Z  27005KT CAVOK 26/04 Q1011=
",SBBR
1659823200000,"METAF SBBR 062200Z  31005KT CAVOK 24/03 Q1012=
",SBBR
1659826800000,"METAF SBBR 062300Z  32005KT CAVOK 23/03 Q1014=
",SBBR
1659830400000,"METAF SBBR 070000Z 01006KT CAVOK 20/03 Q1015=
",SBBR
1659834000000,"METAF SBBR 070100Z  35006KT CAVOK 19/04 Q1015=
",SBBR
1659837600000,"METAF SBBR 070200Z  34006KT CAVOK 18/04 Q1015=
",SBBR
1659841200000,"METAF SBBR 070300Z  35006KT CAVOK 17/04 Q1015=
",SBBR
1659844800000,"METAF SBBR 070400Z  36007KT CAVOK 17/04 Q1014=
",SBBR
1659848400000,"METAF SBBR 070500Z  36006KT CAVOK 17/04 Q1015=
",SBBR
1659852000000,"METAF SBBR 070600Z  33005KT CAVOK 17/05 Q1015=
",SBBR
1659855600000,"METAF SBBR 070700Z  35004KT CAVOK 16/05 Q1014=
",SBBR
1659859200000,"METAF SBBR 070800Z 03005KT CAVOK 15/05 Q1014=
",SBBR
1659862800000,"METAF SBBR 070900Z 01004KT CAVOK 15/05 Q1014=
",SBBR
1659866400000,"METAF SBBR 071000Z 01005KT CAVOK 16/05 Q1015=
",SBBR
1659870000000,"METAF SBBR 071100Z 04008KT CAVOK 20/04 Q1016=
",SBBR
1659873600000,"METAF SBBR 071200Z 06012KT CAVOK 21/04 Q1017=
",SBBR
1659877200000,"METAF SBBR 071300Z 05011KT CAVOK 22/05 Q1018=
",SBBR
1659880800000,"METAF SBBR 071400Z 05011KT CAVOK 25/05 Q1016=
",SBBR
1659884400000,"METAF SBBR 071500Z 03009KT CAVOK 27/05 Q1016=
",SBBR
1659888000000,"METAF SBBR 071600Z 01010KT CAVOK 27/05 Q1015=
",SBBR
1659891600000,"METAF SBBR 071700Z  36008KT CAVOK 27/05 Q1014=
",SBBR
1659895200000,"METAF SBBR 071800Z  30009KT CAVOK 30/04 Q1013=
",SBBR
1659898800000,"METAF SBBR 071900Z  30009KT CAVOK 30/04 Q1012=
",SBBR
1659902400000,"METAF SBBR 072000Z  30007KT CAVOK 30/04 Q1011=
",SBBR
1659906000000,"METAF SBBR 072100Z  32004KT CAVOK 26/04 Q1012=
",SBBR
1659909600000,"METAF SBBR 072200Z  34004KT CAVOK 24/04 Q1013=
",SBBR
1659913200000,"METAF SBBR 072300Z  33004KT CAVOK 23/04 Q1014=
",SBBR
1659916800000,"METAF SBBR 080000Z  36005KT CAVOK 20/04 Q1015=
",SBBR
1659920400000,"METAF SBBR 080100Z  36006KT CAVOK 19/05 Q1015=
",SBBR
1659924000000,"METAF SBBR 080200Z  35006KT CAVOK 18/05 Q1014=
",SBBR
1659927600000,"METAF SBBR 080300Z  35007KT CAVOK 18/05 Q1014=
",SBBR
1659931200000,"METAF SBBR 080400Z  35008KT CAVOK 18/05 Q1013=
",SBBR
1659934800000,"METAF SBBR 080500Z  34008KT CAVOK 18/05 Q1014=
",SBBR
1659938400000,"METAF SBBR 080600Z  33008KT CAVOK 18/06 Q1014=
",SBBR
1659942000000,"METAF SBBR 080700Z  34008KT CAVOK 17/06 Q1014=
",SBBR
1659945600000,"METAF SBBR 080800Z  34008KT CAVOK 17/06 Q1013=
",SBBR
1659949200000,"METAF SBBR 080900Z  34008KT CAVOK 16/06 Q1014=
",SBBR
1659952800000,"METAF SBBR 081000Z  35008KT CAVOK 17/06 Q1015=
",SBBR
1659956400000,"METAF SBBR 081100Z  35007KT CAVOK 22/06 Q1017=
",SBBR
1659960000000,"METAF SBBR 081200Z  36009KT CAVOK 25/06 Q1017=
",SBBR
1659963600000,"METAF SBBR 081300Z  36010KT CAVOK 27/06 Q1017=
",SBBR
1659967200000,"METAF SBBR 081400Z  34007KT CAVOK 28/06 Q1016=
",SBBR
1659970800000,"METAF SBBR 081500Z  32005KT CAVOK 29/06 Q1015=
",SBBR
1659974400000,"METAF SBBR 081600Z  31004KT CAVOK 29/06 Q1014=
",SBBR
1659978000000,"METAF SBBR 081700Z  25004KT CAVOK 30/06 Q1014=
",SBBR
1659981600000,"METAF SBBR 081800Z  31010KT CAVOK 28/07 Q1013=
",SBBR
1659985200000,"METAF SBBR 081900Z  32009KT CAVOK 29/07 Q1012=
",SBBR
1659988800000,"METAF SBBR 082000Z  30004KT CAVOK 29/07 Q1011=
",SBBR
1659992400000,"METAF SBBR 082100Z  25002KT CAVOK 26/08 Q1012=
",SBBR
1659996000000,"METAF SBBR 082200Z  18004KT CAVOK 23/07 Q1014=
",SBBR
1659999600000,"METAF SBBR 082300Z  17007KT CAVOK 21/08 Q1016=
",SBBR
1660003200000,"METAF SBBR 090000Z  21006KT CAVOK 21/07 Q1016=
",SBBR
1660006800000,"METAF SBBR 090100Z  22006KT CAVOK 19/07 Q1015=
",SBBR
1660010400000,"METAF SBBR 090200Z  22006KT CAVOK 19/07 Q1015=
",SBBR
1660014000000,"METAF SBBR 090300Z  25004KT CAVOK 18/07 Q1015=
",SBBR
1660017600000,"METAF SBBR 090400Z  22001KT CAVOK 18/07 Q1015=
",SBBR
1660021200000,"METAF SBBR 090500Z  20003KT CAVOK 17/08 Q1016=
",SBBR
1660024800000,"METAF SBBR 090600Z  22006KT CAVOK 17/08 Q1015=
",SBBR
1660028400000,"METAF SBBR 090700Z  23005KT CAVOK 16/08 Q1014=
",SBBR
1660032000000,"METAF SBBR 090800Z  22006KT CAVOK 16/08 Q1014=
",SBBR
1660035600000,"METAF SBBR 090900Z  20005KT CAVOK 15/08 Q1015=
",SBBR
1660039200000,"METAF SBBR 091000Z  17003KT CAVOK 15/09 Q1016=
",SBBR
1660042800000,"METAF SBBR 091100Z  14005KT CAVOK 19/09 Q1018=
",SBBR
1660046400000,"METAF SBBR 091200Z 03004KT CAVOK 25/08 Q1018=
",SBBR
1660050000000,"METAF SBBR 091300Z 04006KT CAVOK 26/07 Q1018=
",SBBR
1660053600000,"METAF SBBR 091400Z 03006KT CAVOK 27/07 Q1017=
",SBBR
1660057200000,"METAF SBBR 091500Z  36005KT CAVOK 28/07 Q1016=
",SBBR
1660060800000,"METAF SBBR 091600Z  36005KT CAVOK 29/06 Q1016=
",SBBR
1660064400000,"METAF SBBR 091700Z  35004KT CAVOK 29/06 Q1015=
",SBBR
1660068000000,"METAF SBBR 091800Z  32008KT CAVOK 30/06 Q1014=
",SBBR
1660071600000,"METAF SBBR 091900Z  32008KT CAVOK 29/06 Q1013=
",SBBR
1660075200000,"METAF SBBR 092000Z  31006KT CAVOK 29/06 Q1013=
",SBBR
1660078800000,"METAF SBBR 092100Z  28004KT CAVOK 26/07 Q1013=
",SBBR
1660082400000,"METAF SBBR 092200Z  26006KT CAVOK 24/06 Q1015=
",SBBR
1660086000000,"METAF SBBR 092300Z  24006KT CAVOK 23/07 Q1016=
",SBBR
1660089600000,"METAF SBBR 100000Z  34005KT CAVOK 21/07 Q1017=
",SBBR
1660093200000,"METAF SBBR 100100Z  33007KT CAVOK 21/07 Q1017=
",SBBR
1660096800000,"METAF SBBR 100200Z  33008KT CAVOK 22/07 Q1017=
",SBBR
1660100400000,"METAF SBBR 100300Z  32008KT CAVOK 22/07 Q1016=
",SBBR
1660104000000,"METAF SBBR 100400Z  28009KT CAVOK 22/07 Q1016=
",SBBR
1660107600000,"METAF SBBR 100500Z  22011KT 9999       SCT033   21/09 Q1017=
",SBBR
1660111200000,"METAF SBBR 100600Z  22016KT 9999       OVC022   18/11 Q1018=
",SBBR
1660114800000,"METAF SBBR 100700Z  21016KT 5000     BR OVC033   17/14 Q1018=
",SBBR
1660118400000,"METAF SBBR 100800Z  21014KT 2000     BR OVC033   15/14 Q1018=
",SBBR
1660122000000,"METAF SBBR 100900Z  22010KT 1000     BR BKN033   14/13 Q1017=
",SBBR
1660125600000,"METAF SBBR 101000Z  22006KT 1000     BR OVC033   14/13 Q1018=
",SBBR
1660129200000,"METAF SBBR 101100Z  21007KT 6000       SCT033   16/13 Q1019=
",SBBR
1660132800000,"METAF SBBR 101200Z  18006KT CAVOK 19/12 Q1019=
",SBBR
1660136400000,"METAF SBBR 101300Z  19004KT CAVOK 22/11 Q1019=
",SBBR
1660140000000,"METAF SBBR 101400Z  20005KT CAVOK 24/11 Q1019=
",SBBR
1660143600000,"METAF SBBR 101500Z  23006KT CAVOK 25/10 Q1017=
",SBBR
1660147200000,"METAF SBBR 101600Z  25006KT CAVOK 26/10 Q1016=
",SBBR
1660150800000,"METAF SBBR 101700Z  24009KT CAVOK 26/10 Q1015=
",SBBR
1660154400000,"METAF SBBR 101800Z  29010KT CAVOK 28/09 Q1015=
",SBBR
1660158000000,"METAF SBBR 101900Z  29009KT CAVOK 28/09 Q1014=
",SBBR
1660161600000,"METAF SBBR 102000Z  26009KT CAVOK 27/10 Q1014=
",SBBR
1660165200000,"METAF SBBR 102100Z  25006KT CAVOK 25/10 Q1013=
",SBBR
1660168800000,"METAF SBBR 102200Z  24007KT CAVOK 23/10 Q1014=
",SBBR
1660172400000,"METAF SBBR 102300Z  23007KT CAVOK 21/10 Q1016=
",SBBR
1660176000000,"METAF SBBR 110000Z  21011KT CAVOK 18/10 Q1019=
",SBBR
1660179600000,"METAF SBBR 110100Z  22009KT CAVOK 16/09 Q1017=
",SBBR
1660183200000,"METAF SBBR 110200Z  21012KT CAVOK 16/06 Q1017=
",SBBR
1660186800000,"METAF SBBR 110300Z  22008KT CAVOK 14/05 Q1015=
",SBBR
1660190400000,"METAF SBBR 110400Z  23009KT CAVOK 13/03 Q1014=
",SBBR
1660194000000,"METAF SBBR 110500Z  22010KT CAVOK 13/02 Q1015=
",SBBR
1660197600000,"METAF SBBR 110600Z  20006KT CAVOK 010/03 Q1018=
",SBBR
1660201200000,"METAF SBBR 110700Z  20004KT CAVOK 010/03 Q1015=
",SBBR
1660204800000,"METAF SBBR 110800Z  19005KT CAVOK 010/02 Q1015=
",SBBR
1660208400000,"METAF SBBR 110900Z  20006KT CAVOK 010/02 Q1014=
",SBBR
1660212000000,"METAF SBBR 111000Z  20005KT CAVOK 010/02 Q1016=
",SBBR
1660215600000,"METAF SBBR 111100Z  19003KT CAVOK 12/01 Q1018=
",SBBR
1660219200000,"METAF SBBR 111200Z  15006KT CAVOK 15/01 Q1021=
",SBBR
1660222800000,"METAF SBBR 111300Z  13005KT CAVOK 17/01 Q1018=
",SBBR
1660226400000,"METAF SBBR 111400Z  12006KT CAVOK 19/02 Q1017=
",SBBR
1660230000000,"METAF SBBR 111500Z  11004KT CAVOK 20/04 Q1016=
",SBBR
1660233600000,"METAF SBBR 111600Z 09004KT CAVOK 22/05 Q1017=
",SBBR
1660237200000,"METAF SBBR 111700Z  12003KT CAVOK 23/05 Q1018=
",SBBR
1660240800000,"METAF SBBR 111800Z  23007KT CAVOK 26/07 Q1017=
",SBBR
1660244400000,"METAF SBBR 111900Z  21006KT CAVOK 25/06 Q1015=
",SBBR
1660248000000,"METAF SBBR 112000Z  18008KT CAVOK 24/05 Q1014=
",SBBR
1660251600000,"METAF SBBR 112100Z  16006KT CAVOK 21/05 Q1014=
",SBBR
1660255200000,"METAF SBBR 112200Z  14005KT CAVOK 19/04 Q1016=
",SBBR
1660258800000,"METAF SBBR 112300Z  14007KT CAVOK 19/04 Q1018=
",SBBR
1660262400000,"METAF SBBR 120000Z  17004KT CAVOK 17/06 Q1020=
",SBBR
1660266000000,"METAF SBBR 120100Z  14003KT CAVOK 17/06 Q1018=
",SBBR
1660269600000,"METAF SBBR 120200Z  18003KT CAVOK 16/05 Q1017=
",SBBR
1660273200000,"METAF SBBR 120300Z  16003KT CAVOK 15/05 Q1017=
",SBBR
1660276800000,"METAF SBBR 120400Z  17003KT CAVOK 15/05 Q1017=
",SBBR
1660280400000,"METAF SBBR 120500Z  18005KT CAVOK 14/04 Q1019=
",SBBR
1660284000000,"METAF SBBR 120600Z  12004KT CAVOK 13/06 Q1019=
",SBBR
1660287600000,"METAF SBBR 120700Z  10005KT CAVOK 12/05 Q1017=
",SBBR
1660291200000,"METAF SBBR 120800Z 08004KT CAVOK 12/04 Q1016=
",SBBR
1660294800000,"METAF SBBR 120900Z 07005KT CAVOK 12/04 Q1017=
",SBBR
1660298400000,"METAF SBBR 121000Z 06005KT CAVOK 12/03 Q1018=
",SBBR
1660302000000,"METAF SBBR 121100Z 09004KT CAVOK 13/03 Q1021=
",SBBR
1660305600000,"METAF SBBR 121200Z 09007KT CAVOK 17/03 Q1021=
",SBBR
1660309200000,"METAF SBBR 121300Z  10010KT CAVOK 20/02 Q1021=
",SBBR
1660312800000,"METAF SBBR 121400Z 08010KT CAVOK 22/02 Q1019=
",SBBR
1660316400000,"METAF SBBR 121500Z 08008KT CAVOK 22/03 Q1019=
",SBBR
1660320000000,"METAF SBBR 121600Z 08007KT CAVOK 22/03 Q1019=
",SBBR
1660323600000,"METAF SBBR 121700Z  11007KT CAVOK 23/04 Q1019=
",SBBR
1660327200000,"METAF SBBR 121800Z  36007KT CAVOK 28/05 Q1017=
",SBBR
1660330800000,"METAF SBBR 121900Z  36004KT CAVOK 28/04 Q1015=
",SBBR
1660334400000,"METAF SBBR 122000Z 07001KT CAVOK 28/04 Q1014=
",SBBR
1660338000000,"METAF SBBR 122100Z  14004KT CAVOK 25/05 Q1015=
",SBBR
1660341600000,"METAF SBBR 122200Z  11005KT CAVOK 24/05 Q1017=
",SBBR
1660345200000,"METAF SBBR 122300Z 08005KT CAVOK 23/05 Q1018=
",SBBR
1660348800000,"METAF SBBR 130000Z 01006KT CAVOK 20/06 Q1019=
",SBBR
1660352400000,"METAF SBBR 130100Z  34006KT CAVOK 20/07 Q1018=
",SBBR
1660356000000,"METAF SBBR 130200Z  36004KT CAVOK 18/07 Q1017=
",SBBR
1660359600000,"METAF SBBR 130300Z 05003KT CAVOK 17/07 Q1017=
",SBBR
1660363200000,"METAF SBBR 130400Z 09004KT CAVOK 16/07 Q1018=
",SBBR
1660366800000,"METAF SBBR 130500Z 09004KT CAVOK 16/06 Q1019=
",SBBR
1660370400000,"METAF SBBR 130600Z 02002KT CAVOK 17/08 Q1017=
",SBBR
1660374000000,"METAF SBBR 130700Z 04005KT CAVOK 16/08 Q1017=
",SBBR
1660377600000,"METAF SBBR 130800Z 06007KT CAVOK 14/08 Q1015=
",SBBR
1660381200000,"METAF SBBR 130900Z 08006KT CAVOK 14/08 Q1018=
",SBBR
1660384800000,"METAF SBBR 131000Z 09004KT CAVOK 13/08 Q1020=
",SBBR
1660388400000,"METAF SBBR 131100Z  10008KT CAVOK 16/08 Q1022=
",SBBR
1660392000000,"METAF SBBR 131200Z 06011KT CAVOK 21/09 Q1021=
",SBBR
1660395600000,"METAF SBBR 131300Z 05011KT CAVOK 22/10 Q1022=
",SBBR
1660399200000,"METAF SBBR 131400Z 06011KT CAVOK 24/11 Q1020=
",SBBR
1660402800000,"METAF SBBR 131500Z 07010KT CAVOK 25/11 Q1021=
",SBBR
1660406400000,"METAF SBBR 131600Z 07009KT CAVOK 26/10 Q1021=
",SBBR
1660410000000,"METAF SBBR 131700Z 09008KT CAVOK 26/10 Q1020=
",SBBR
1660413600000,"METAF SBBR 131800Z 04004KT CAVOK 28/07 Q1017=
",SBBR
1660417200000,"METAF SBBR 131900Z 06005KT CAVOK 28/06 Q1017=
",SBBR
1660420800000,"METAF SBBR 132000Z 08006KT CAVOK 28/06 Q1015=
",SBBR
1660424400000,"METAF SBBR 132100Z 09008KT CAVOK 28/06 Q1016=
",SBBR
1660428000000,"METAF SBBR 132200Z 08008KT CAVOK 27/06 Q1017=
",SBBR
1660431600000,"METAF SBBR 132300Z 09009KT CAVOK 25/08 Q1019=
",SBBR
1660435200000,"METAF SBBR 140000Z 02006KT CAVOK 19/08 Q1019=
",SBBR
1660438800000,"METAF SBBR 140100Z 01005KT CAVOK 19/08 Q1020=
",SBBR
1660442400000,"METAF SBBR 140200Z 01005KT CAVOK 18/08 Q1018=
",SBBR
1660446000000,"METAF SBBR 140300Z 03006KT CAVOK 17/09 Q1019=
",SBBR
1660449600000,"METAF SBBR 140400Z 03007KT CAVOK 16/09 Q1019=
",SBBR
1660453200000,"METAF SBBR 140500Z 03006KT CAVOK 15/08 Q1019=
",SBBR
1660456800000,"METAF SBBR 140600Z 02007KT CAVOK 15/09 Q1018=
",SBBR
1660460400000,"METAF SBBR 140700Z 02007KT CAVOK 14/09 Q1018=
",SBBR
1660464000000,"METAF SBBR 140800Z 03007KT CAVOK 13/09 Q1016=
",SBBR
1660467600000,"METAF SBBR 140900Z 03008KT CAVOK 13/09 Q1017=
",SBBR
1660471200000,"METAF SBBR 141000Z 04008KT CAVOK 13/09 Q1019=
",SBBR
1660474800000,"METAF SBBR 141100Z 05010KT CAVOK 17/09 Q1021=
",SBBR
1660478400000,"METAF SBBR 141200Z 04011KT CAVOK 20/09 Q1021=
",SBBR
1660482000000,"METAF SBBR 141300Z 05010KT CAVOK 22/09 Q1021=
",SBBR
1660485600000,"METAF SBBR 141400Z 06009KT CAVOK 23/08 Q1019=
",SBBR
1660489200000,"METAF SBBR 141500Z 07006KT CAVOK 24/08 Q1018=
",SBBR
1660492800000,"METAF SBBR 141600Z 07005KT CAVOK 25/07 Q1018=
",SBBR
1660496400000,"METAF SBBR 141700Z  10005KT CAVOK 26/07 Q1018=
",SBBR
1660500000000,"METAF SBBR 141800Z 07005KT CAVOK 27/06 Q1016=
",SBBR
1660503600000,"METAF SBBR 141900Z 07006KT CAVOK 28/05 Q1015=
",SBBR
1660507200000,"METAF SBBR 142000Z 09006KT CAVOK 27/05 Q1013=
",SBBR
1660510800000,"METAF SBBR 142100Z 09006KT CAVOK 25/05 Q1014=
",SBBR
1660514400000,"METAF SBBR 142200Z 08006KT CAVOK 23/04 Q1016=
",SBBR
1660518000000,"METAF SBBR 142300Z 08007KT CAVOK 22/05 Q1017=
",SBBR
1660521600000,"METAF SBBR 150000Z 05008KT CAVOK 18/04 Q1017=
",SBBR
1660525200000,"METAF SBBR 150100Z 03007KT CAVOK 17/05 Q1019=
",SBBR
1660528800000,"METAF SBBR 150200Z 03007KT CAVOK 16/05 Q1016=
",SBBR
1660532400000,"METAF SBBR 150300Z 03008KT CAVOK 15/05 Q1017=
",SBBR
1660536000000,"METAF SBBR 150400Z 03008KT CAVOK 14/05 Q1017=
",SBBR
1660539600000,"METAF SBBR 150500Z 03007KT CAVOK 14/05 Q1017=
",SBBR
1660543200000,"METAF SBBR 150600Z 04008KT CAVOK 13/06 Q1015=
",SBBR
1660546800000,"METAF SBBR 150700Z 04007KT CAVOK 12/05 Q1017=
",SBBR
1660550400000,"METAF SBBR 150800Z 03008KT CAVOK 12/05 Q1015=
",SBBR
1660554000000,"METAF SBBR 150900Z 03008KT CAVOK 12/05 Q1016=
",SBBR
1660557600000,"METAF SBBR 151000Z 04007KT CAVOK 12/05 Q1017=
",SBBR
1660561200000,"METAF SBBR 151100Z 06013KT CAVOK 17/05 Q1018=
",SBBR
1660564800000,"METAF SBBR 151200Z 06013KT CAVOK 20/05 Q1018=
",SBBR
1660568400000,"METAF SBBR 151300Z 05015KT CAVOK 21/05 Q1020=
",SBBR
1660572000000,"METAF SBBR 151400Z 06013KT CAVOK 23/05 Q1018=
",SBBR
1660575600000,"METAF SBBR 151500Z 06010KT CAVOK 24/05 Q1018=
",SBBR
1660579200000,"METAF SBBR 151600Z 05008KT CAVOK 25/05 Q1017=
",SBBR
1660582800000,"METAF SBBR 151700Z 06006KT CAVOK 26/05 Q1016=
",SBBR
1660586400000,"METAF SBBR 151800Z 01008KT CAVOK 27/03 Q1013=
",SBBR
1660590000000,"METAF SBBR 151900Z 02007KT CAVOK 27/03 Q1013=
",SBBR
1660593600000,"METAF SBBR 152000Z 03007KT CAVOK 27/03 Q1012=
",SBBR
1660597200000,"METAF SBBR 152100Z 04006KT CAVOK 24/03 Q1013=
",SBBR
1660600800000,"METAF SBBR 152200Z 05008KT CAVOK 22/04 Q1014=
",SBBR
1660604400000,"METAF SBBR 152300Z 04008KT CAVOK 21/04 Q1015=
",SBBR
1660608000000,"METAF SBBR 160000Z 02009KT CAVOK 18/04 Q1014=
",SBBR
1660611600000,"METAF SBBR 160100Z 02008KT CAVOK 17/04 Q1016=
",SBBR
1660615200000,"METAF SBBR 160200Z 01008KT CAVOK 17/04 Q1015=
",SBBR
1660618800000,"METAF SBBR 160300Z 02008KT CAVOK 16/05 Q1016=
",SBBR
1660622400000,"METAF SBBR 160400Z 01008KT CAVOK 16/06 Q1016=
",SBBR
1660626000000,"METAF SBBR 160500Z 02008KT CAVOK 15/06 Q1015=
",SBBR
1660629600000,"METAF SBBR 160600Z 01007KT CAVOK 15/06 Q1014=
",SBBR
1660633200000,"METAF SBBR 160700Z 02006KT CAVOK 13/06 Q1016=
",SBBR
1660636800000,"METAF SBBR 160800Z 02006KT CAVOK 13/06 Q1015=
",SBBR
1660640400000,"METAF SBBR 160900Z 03006KT CAVOK 12/06 Q1017=
",SBBR
1660644000000,"METAF SBBR 161000Z 02007KT CAVOK 14/06 Q1017=
",SBBR
1660647600000,"METAF SBBR 161100Z 04011KT CAVOK 19/06 Q1018=
",SBBR
1660651200000,"METAF SBBR 161200Z 03006KT CAVOK 23/06 Q1018=
",SBBR
1660654800000,"METAF SBBR 161300Z 04010KT CAVOK 25/06 Q1019=
",SBBR
1660658400000,"METAF SBBR 161400Z 04009KT CAVOK 25/06 Q1018=
",SBBR
1660662000000,"METAF SBBR 161500Z 05007KT CAVOK 26/06 Q1018=
",SBBR
1660665600000,"METAF SBBR 161600Z 04009KT CAVOK 27/06 Q1016=
",SBBR
1660669200000,"METAF SBBR 161700Z 05008KT CAVOK 27/05 Q1015=
",SBBR
1660672800000,"METAF SBBR 161800Z  35007KT CAVOK 28/05 Q1014=
",SBBR
1660676400000,"METAF SBBR 161900Z 02008KT CAVOK 29/05 Q1013=
",SBBR
1660680000000,"METAF SBBR 162000Z 03008KT CAVOK 28/05 Q1012=
",SBBR
1660683600000,"METAF SBBR 162100Z 04007KT CAVOK 26/05 Q1013=
",SBBR
1660687200000,"METAF SBBR 162200Z 04009KT CAVOK 24/05 Q1013=
",SBBR
1660690800000,"METAF SBBR 162300Z 03009KT CAVOK 23/05 Q1014=
",SBBR
1660694400000,"METAF SBBR 170000Z 01008KT CAVOK 19/06 Q1016=
",SBBR
1660698000000,"METAF SBBR 170100Z 01010KT CAVOK 20/06 Q1015=
",SBBR
1660701600000,"METAF SBBR 170200Z  36008KT CAVOK 18/06 Q1014=
",SBBR
1660705200000,"METAF SBBR 170300Z  36007KT CAVOK 17/06 Q1014=
",SBBR
1660708800000,"METAF SBBR 170400Z  36008KT CAVOK 17/06 Q1014=
",SBBR
1660712400000,"METAF SBBR 170500Z 01008KT CAVOK 17/06 Q1014=
",SBBR
1660716000000,"METAF SBBR 170600Z  36007KT CAVOK 16/07 Q1016=
",SBBR
1660719600000,"METAF SBBR 170700Z 02008KT CAVOK 15/07 Q1014=
",SBBR
1660723200000,"METAF SBBR 170800Z 03007KT CAVOK 14/07 Q1014=
",SBBR
1660726800000,"METAF SBBR 170900Z 03007KT CAVOK 14/07 Q1014=
",SBBR
