hora,troca,aero
1654041600000,0,BR
1654045200000,0,BR
1654048800000,0,BR
1654052400000,0,BR
1654056000000,0,BR
1654059600000,0,BR
1654063200000,0,BR
1654066800000,0,BR
1654070400000,0,BR
1654074000000,0,BR
1654077600000,0,BR
1654081200000,0,BR
1654084800000,0,BR
1654088400000,0,BR
1654092000000,0,BR
1654095600000,1,BR
1654099200000,1,BR
1654102800000,1,BR
1654106400000,1,BR
1654110000000,1,BR
1654113600000,1,BR
1654117200000,1,BR
1654120800000,1,BR
1654124400000,1,BR
1654128000000,1,BR
1654131600000,1,BR
1654135200000,1,BR
1654138800000,1,BR
1654142400000,1,BR
1654146000000,1,BR
1654149600000,1,BR
1654153200000,1,BR
1654156800000,0,BR
1654160400000,0,BR
1654164000000,0,BR
1654167600000,0,BR
1654171200000,0,BR
1654174800000,1,BR
1654178400000,1,BR
1654182000000,0,BR
1654185600000,0,BR
1654189200000,0,BR
1654192800000,0,BR
1654196400000,1,BR
1654200000000,1,BR
1654203600000,0,BR
1654207200000,0,BR
1654210800000,0,BR
1654214400000,0,BR
1654218000000,0,BR
1654221600000,0,BR
1654225200000,0,BR
1654228800000,0,BR
1654232400000,0,BR
1654236000000,0,BR
1654239600000,0,BR
1654243200000,0,BR
1654246800000,0,BR
1654250400000,0,BR
1654254000000,0,BR
1654257600000,0,BR
1654261200000,1,BR
1654264800000,1,BR
1654268400000,0,BR
1654272000000,1,BR
1654275600000,0,BR
1654279200000,0,BR
1654282800000,0,BR
1654286400000,0,BR
1654290000000,0,BR
1654293600000,0,BR
1654297200000,0,BR
1654300800000,0,BR
1654304400000,0,BR
1654308000000,0,BR
1654311600000,0,BR
1654315200000,0,BR
1654318800000,0,BR
1654322400000,0,BR
1654326000000,0,BR
1654329600000,0,BR
1654333200000,0,BR
1654336800000,0,BR
1654340400000,0,BR
1654344000000,0,BR
1654347600000,0,BR
1654351200000,0,BR
1654354800000,0,BR
1654358400000,0,BR
1654362000000,0,BR
1654365600000,0,BR
1654369200000,0,BR
1654372800000,0,BR
1654376400000,0,BR
1654380000000,0,BR
1654383600000,0,BR
1654387200000,0,BR
1654390800000,0,BR
1654394400000,0,BR
1654398000000,0,BR
1654401600000,0,BR
1654405200000,0,BR
1654408800000,0,BR
1654412400000,0,BR
1654416000000,0,BR
1654419600000,0,BR
1654423200000,0,BR
1654426800000,0,BR
1654430400000,0,BR
1654434000000,0,BR
1654437600000,0,BR
1654441200000,0,BR
1654444800000,0,BR
1654448400000,0,BR
1654452000000,0,BR
1654455600000,0,BR
1654459200000,0,BR
1654462800000,0,BR
1654466400000,0,BR
1654470000000,0,BR
1654473600000,0,BR
1654477200000,0,BR
1654480800000,0,BR
1654484400000,0,BR
1654488000000,0,BR
1654491600000,0,BR
1654495200000,0,BR
1654498800000,0,BR
1654502400000,0,BR
1654506000000,0,BR
1654509600000,0,BR
1654513200000,0,BR
1654516800000,0,BR
1654520400000,0,BR
1654524000000,0,BR
1654527600000,0,BR
1654531200000,1,BR
1654534800000,0,BR
1654538400000,0,BR
1654542000000,1,BR
1654545600000,1,BR
1654549200000,1,BR
1654552800000,1,BR
1654556400000,1,BR
1654560000000,1,BR
1654563600000,0,BR
1654567200000,1,BR
1654570800000,1,BR
1654574400000,1,BR
1654578000000,1,BR
1654581600000,1,BR
1654585200000,1,BR
1654588800000,1,BR
1654592400000,1,BR
1654596000000,1,BR
1654599600000,1,BR
1654603200000,1,BR
1654606800000,1,BR
1654610400000,1,BR
1654614000000,1,BR
1654617600000,1,BR
1654621200000,1,BR
1654624800000,1,BR
1654628400000,1,BR
1654632000000,1,BR
1654635600000,1,BR
1654639200000,0,BR
1654642800000,0,BR
1654646400000,0,BR
1654650000000,1,BR
1654653600000,1,BR
1654657200000,1,BR
1654660800000,0,BR
1654664400000,0,BR
1654668000000,0,BR
1654671600000,0,BR
1654675200000,0,BR
1654678800000,0,BR
1654682400000,1,BR
1654686000000,0,BR
1654689600000,1,BR
1654693200000,1,BR
1654696800000,1,BR
1654700400000,1,BR
